Player,Team,Position,Age,Value
Josh Oliver,MIN,TE,26,344
Cooper Rush,DAL,QB,29,342
James Robinson,FA,RB,24,327
Craig Reynolds,DET,RB,27,326
Nelson Agholor,BAL,WR,30,326
Larry Rountree,LAC,RB,25,325
Tony Jones,DEN,RB,25,323
Darrell Henderson,FA,RB,25,319
Andy Dalton,CAR,QB,35,312
Latavius Murray,BUF,RB,33,307
Ian Thomas,CAR,TE,27,306
Drew Sample,CIN,TE,27,288
Sincere McCormick,LVR,RB,22,276
Lil'Jordan Humphrey,DEN,WR,25,274
Brycen Hopkins,LAR,TE,26,270
James Proche,BAL,WR,26,265
Salvon Ahmed,MIA,RB,24,263
Jamison Crowder,NYG,WR,30,257
Miles Boykin,PIT,WR,26,247
Durham Smythe,MIA,TE,27,236
Teagan Quitoriano,HOU,TE,23,225
Charlie Kolar,BAL,TE,24,222
Mike Strachan,IND,WR,25,220
Carson Wentz,FA,QB,30,218
Kyle Allen,BUF,QB,27,212
Kellen Mond,CLE,QB,24,204
Dez Fitzpatrick,PIT,WR,25,204
DeAndre Carter,LVR,WR,30,201
KaVontae Turpin,DAL,WR,27,201
Dan Arnold,PHI,TE,28,179
Jarvis Landry,FA,WR,30,166
David Moore,TBB,WR,28,158
Jacob Harris,JAC,WR,26,156
Tyree Jackson,PHI,TE,26,137
Randall Cobb,NYJ,WR,32,135
Marquise Goodwin,CLE,WR,32,132
J.D. McKissic,FA,RB,29,95
Samori Toure,GBP,WR,25,93
P.J. Walker,CHI,QB,28,85
Josiah Deguara,GBP,TE,26,85
Chris Moore,TEN,WR,30,72
Ty Johnson,FA,RB,25,42
Hunter Bryant,FA,TE,24,35
N'Keal Harry,FA,WR,25,22
Taywan Taylor,FA,WR,28,5
Josh Doctson,FA,WR,30,0
